Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Consumer Cyclical,BALKRISIND,STRONG_BUY,STRONG_BUY,2191.1,2172.05,2723.8,1690.55,29.688496,,,6.476777,0.043,0.25221002,,STRONG_BUY - 16|0|10,BUY - 16|2|8,BUY - 15|1|10,BUY - 14|2|10,Bullish  : 58.85,BUY,BUY,Overbrought : 81.46,Bullish : 79.72,Weak Trend : 18.32,Bullish  : 97.5,Bullish : 27.73,Bullish : 25.1,Bullish : 8.7,Bullish : 2.19,61.16,2111.57,73.803,,BALKRISHNA INDS,Watchlist,1,,,2191.1,none,29.529,0.042,,,,23.751,
Consumer Defensive,NESTLEIND,STRONG_BUY,STRONG_BUY,17991.95,17795.05,20609.15,16000.0,77.39005,,,77.56213,-0.013,0.13713,,STRONG_BUY - 16|0|10,BUY - 15|2|9,NEUTRAL - 9|8|9,BUY - 15|1|10,Bullish  : 71.51,BUY,BUY,Overbrought : 97.37,Overbrought : 94.7,Weak Trend : 16.59,Bullish  : 166.26,Bullish : 607.64,Bullish : 597.95,Bullish : 230.43,Bullish : 155.75,69.35,17450.04,232.484,,NESTLE INDIA,Portfolio,50,,,899597.5,none,81.087,-0.012,,,,12.752,
Consumer Defensive,UBL,STRONG_BUY,STRONG_BUY,1541.95,1495.5,1785.8,1274.5,121.67205,91.94692,7.15,11.070308,0.682,0.15592,,STRONG_BUY - 16|0|10,BUY - 15|1|10,STRONG_SELL - 0|16|10,STRONG_BUY - 17|0|9,Bullish  : 65.25,BUY,BUY,Overbrought : 84.42,Bullish : 69.6,Weak Trend : 20.31,Bullish  : 180.72,Bullish : 19.45,Bullish : 54.0,Bullish : 7.31,Bearish : -1.25,57.93,1432.19,12.673,16.77,UNITED BREWERIES L,Watchlist,1,,3.4,1541.95,hold,34.4,0.685,1.711,0.05579,0.09729,0.247,1.097
Consumer Defensive,HINDUNILVR,STRONG_BUY,STRONG_BUY,2366.45,2282.35,2859.3,1901.55,66.20181,,,11.596948,0.054,0.16624,,STRONG_BUY - 16|0|10,BUY - 15|1|10,BUY - 14|2|10,STRONG_BUY - 16|1|9,Bullish  : 66.7,BUY,BUY,Overbrought : 84.27,Bullish : 66.35,Weak Trend : 19.13,Bullish  : 136.51,Bullish : 51.64,Bullish : 39.7,Bullish : 22.58,Bullish : 15.98,67.49,2205.83,35.746,,HINDUSTAN UNILEVER,Watchlist,300,,,709935.0,none,31.359,0.054,1.376,0.10560001,0.18365,2.125,0.851
Consumer Defensive,GODREJCP,STRONG_BUY,STRONG_BUY,802.0,781.5,1138.0,660.05,46.573753,36.33892,3.75,7.8330255,0.051,0.21867001,,STRONG_BUY - 16|0|10,BUY - 15|1|10,STRONG_SELL - 1|16|9,BUY - 10|7|9,Bullish  : 63.19,BUY,BUY,Bullish : 74.59,Bullish : 56.53,Weak Trend : 17.01,Bullish  : 128.46,Bullish : 16.79,Bullish : 6.15,Bullish : 7.32,Bullish : 5.65,61.01,750.08,17.22,22.07,GODREJ CONSUMER PR,Watchlist,1000,,2.2,802000.0,buy,16.452,0.051,,,,21.224,
Technology,PAYTM,NEUTRAL,NEUTRAL,646.2,657.0,1955.0,510.05,,-22.05461,0.37,6.5722594,,0.21505,2021-11-29 00:00:00,SELL - 7|11|8,NEUTRAL - 6|8|10,SELL - 6|9|9,BUY - 6|4|6,Neutral : 47.21,SELL,SELL,Bullish : 22.05,Bullish : 29.68,Weak Trend : 21.83,Neutral : -49.74,Bullish : 14.89,Bearish : -58.6,Bullish : 7.96,Bullish : 13.87,33.35,711.86,-281.024,-29.3,One 97 Communications Ltd,Watchlist,1,,2.7,646.2,hold,38.763,,,,,11.331,
Basic Materials,BERGEPAINT,NEUTRAL,STRONG_SELL,582.45,582.25,872.95,543.6,67.07935,,,16.367393,-0.08,0.10869,,SELL - 7|10|9,SELL - 5|11|10,STRONG_SELL - 1|17|8,SELL - 3|14|9,Neutral : 50.68,BUY,SELL,Bullish : 52.07,Bullish : 41.69,Weak Trend : 19.14,Neutral : -27.91,Bearish : -2.21,Bearish : -15.8,Bearish : -1.64,Bearish : -1.89,52.46,586.9,8.683,,BERGER PAINTS IND,Watchlist,1,,,582.45,none,5.768,-0.081,,,,31.747,
Utilities,ADANIGREEN,NEUTRAL,NEUTRAL,1885.8,1963.65,3050.0,874.8,1111.2551,,,162.3171,0.12,0.04779,,SELL - 7|10|9,NEUTRAL - 9|9|8,SELL - 6|11|9,NEUTRAL - 8|9|9,Neutral : 51.71,BUY,SELL,Bullish : 68.69,Overbrought : 80.52,Weak Trend : 23.19,Neutral : 25.22,Bullish : 110.83,Bearish : -25.4,Bullish : 26.3,Bullish : 18.71,47.22,1989.9,1.697,,ADANI GREEN ENERGY,Watchlist,0,,,0.0,none,10.483,0.167,,,,1761.529,
Industrials,KIRLFER,STRONG_SELL,STRONG_SELL,188.4,189.6,314.0,183.2,5.101405,,,2.1413713,-0.312,0.12615,,SELL - 6|14|6,SELL - 3|15|8,STRONG_SELL - 0|16|10,SELL - 4|11|9,Bearish : 32.62,SELL,SELL,Oversold : 16.85,Oversold : 14.81,Strong Trend : 26.37,Bearish : -144.38,Bearish : -13.27,Bearish : -11.6,Bearish : -5.21,Bearish : -4.82,34.96,201.5,36.931,,Kirloskar Ferrous Ind Ltd,Watchlist,0,,,0.0,none,0.814,-0.314,,,,17.194,
Consumer Cyclical,BAJAJ_AUTO,STRONG_SELL,SELL,3672.0,3624.6,4249.9,3027.05,16.387297,21.446093,,3.931966,-0.016,0.17412001,,SELL - 6|13|7,SELL - 2|14|10,BUY - 14|2|10,BUY - 13|4|9,Bearish : 42.63,SELL,SELL,Oversold : 11.92,Oversold : 10.63,Weak Trend : 21.72,Bearish : -60.44,Bearish : -92.06,Bearish : -183.35,Bearish : -19.61,Bullish : 0.03,37.36,3912.55,224.076,171.22,BAJAJ AUTO LTD,Watchlist,250,,2.2,918000.0,buy,205.061,-0.015,2.211,0.11259,0.21584,,1.588
