Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Financial Services,IEX,STRONG_SELL,STRONG_SELL,158.85,159.75,318.67,127.72,54.738113,,,22.85488,,0.3321,,SELL - 3|14|9,STRONG_SELL - 1|16|9,STRONG_SELL - 1|16|9,SELL - 5|12|9,Bearish : 33.88,SELL,SELL,Oversold : 10.07,Oversold : 9.38,Strong Trend : 27.23,Bearish : -97.94,Bearish : -10.96,Bearish : -16.2,Bearish : -4.69,Bearish : -4.11,34.09,168.38,2.902,,INDIAN ENERGY EXCH,Portfolio,0,,1.4,0.0,strong_buy,,,,,,,
Industrials,VOLTAS,STRONG_SELL,STRONG_SELL,963.5,956.45,1356.9,922.55,53.947365,36.83104,2.16,6.220704,-0.25,0.44834998,2022-02-14 00:00:00,SELL - 3|14|9,SELL - 4|12|10,SELL - 2|14|10,SELL - 4|14|8,Neutral : 45.15,SELL,SELL,Bullish : 31.42,Bullish : 29.87,Strong Trend : 26.12,Bearish : -53.78,Bearish : -11.39,Bearish : -18.0,Bearish : -5.77,Bearish : -4.98,43.06,1000.5,17.86,26.16,VOLTAS LTD,Watchlist,1,,2.4,963.5,buy,21.181,-0.251,,,,8.262,
Energy,RELIANCE,STRONG_SELL,STRONG_SELL,2412.5,2408.7,2856.15,2016.25,30.393318,33.576897,,2.1307452,0.43,0.28135002,,SELL - 3|14|9,SELL - 2|15|9,BUY - 14|2|10,SELL - 5|12|9,Bearish : 35.46,SELL,SELL,Bullish : 20.6,Bullish : 29.61,Weak Trend : 19.18,Bearish : -137.01,Bearish : -93.85,Bearish : -83.6,Bearish : -38.54,Bearish : -30.52,45.91,2592.64,79.376,71.85,RELIANCE INDS,Portfolio,250,,2.1,603125.0,buy,335.428,0.403,1.176,0.03101,0.07753,31.21,0.751
Technology,MPHASIS,STRONG_SELL,STRONG_SELL,2215.1,2241.15,3659.75,2104.0,31.748606,45.8993,1.7,6.8494763,0.237,0.29704002,2018-05-23 00:00:00,SELL - 3|14|9,SELL - 1|15|10,STRONG_SELL - 0|17|9,SELL - 7|13|6,Bearish : 36.84,SELL,SELL,Oversold : 12.54,Oversold : 15.67,Weak Trend : 23.26,Bearish : -154.52,Bearish : -62.86,Bearish : -131.0,Bearish : -33.88,Bearish : -28.72,41.31,2348.12,69.77,48.26,MPHASIS LTD,Watchlist,325,,2.6,719907.5,hold,126.961,0.232,1.964,0.113299996,0.21246,18.031,1.585
Consumer Cyclical,RAYMOND,NEUTRAL,SELL,861.0,879.9,1278.75,389.95,,30.22113,,2.8734193,3.623,0.06937,2016-01-25 00:00:00,SELL - 3|13|10,SELL - 5|12|9,BUY - 14|3|9,BUY - 13|4|9,Bearish : 44.36,BUY,BUY,Bullish : 53.47,Bullish : 58.63,Weak Trend : 12.53,Neutral : -13.49,Bearish : -10.05,Bearish : -1.35,Bearish : -9.03,Bearish : -12.74,39.26,847.17,-3.774,28.49,RAYMOND LTD,Watchlist,0,,1.8,0.0,buy,96.517,3.62,,,,120.324,
Basic Materials,HINDZINC,NEUTRAL,NEUTRAL,247.5,247.55,408.6,245.1,12.05964,,,2.8806872,0.18,0.03272,,SELL - 3|13|10,NEUTRAL - 10|7|9,NEUTRAL - 8|9|9,SELL - 3|15|8,Bearish : 35.74,BUY,SELL,Bullish : 25.63,Bullish : 23.59,Strong Trend : 27.55,Bearish : -74.8,Bearish : -13.81,Bullish : 1.0,Bearish : -6.73,Bearish : -7.96,37.86,256.31,20.523,,HINDUSTAN ZINC,Watchlist,0,,,0.0,none,49.265,0.181,3.935,0.18402,0.28919,8.296,3.533
Basic Materials,JSWSTEEL,STRONG_SELL,STRONG_SELL,550.95,578.85,790.0,520.05,6.674622,,,2.1798565,0.625,0.15094,,SELL - 2|16|8,SELL - 4|12|10,SELL - 2|16|8,SELL - 2|14|10,Bearish : 42.7,SELL,SELL,Bullish : 33.65,Bullish : 47.21,Weak Trend : 16.24,Bearish : -135.91,Bearish : -1.3,Bearish : -20.0,Bearish : -1.02,Bullish : 0.68,43.24,584.32,82.544,,JSW STEEL LTD,Portfolio,1350,,,743782.5000000001,none,62.489,0.625,,,,117.874,
Energy,OIL,NEUTRAL,NEUTRAL,201.25,213.85,306.0,153.1,4.7906404,4.4308677,0.22,0.7763131,0.459,0.24761,2022-02-09 00:00:00,SELL - 2|15|9,STRONG_BUY - 16|0|10,SELL - 6|11|9,SELL - 5|12|9,Bearish : 30.18,SELL,SELL,Oversold : 8.07,Oversold : 13.76,Strong Trend : 25.54,Bearish : -186.82,Bearish : -27.29,Bearish : -30.4,Bearish : -9.31,Bearish : -5.63,31.53,256.89,42.009,45.42,OIL INDIA LTD,Watchlist,1,,1.9,201.25,buy,20.505,0.46,,,,56.461,
Basic Materials,TATASTEEL,NEUTRAL,STRONG_SELL,850.4,872.85,1534.5,827.0,3.277362,,,1.1169568,1.589,0.30411,,SELL - 2|15|9,SELL - 2|14|10,SELL - 2|16|8,SELL - 5|13|8,Bearish : 34.59,BUY,SELL,Bullish : 36.33,Bullish : 49.7,Strong Trend : 35.21,Bearish : -79.81,Bearish : -40.16,Bearish : -16.9,Bearish : -23.33,Bearish : -28.53,36.57,893.5,259.477,,TATA STEEL LTD,Portfolio,850,,,722840.0,none,76.217,1.481,,,,81.23,
Technology,MINDTREE,STRONG_SELL,STRONG_SELL,2849.95,2883.35,5060.0,2457.55,33.889244,53.210415,,10.08054,0.491,0.16881001,,SELL - 2|15|9,SELL - 1|15|10,STRONG_SELL - 0|17|9,SELL - 6|11|9,Bearish : 44.92,SELL,SELL,Bullish : 22.41,Bullish : 27.67,Weak Trend : 14.93,Bearish : -68.39,Bearish : -20.89,Bearish : -110.65,Bearish : -10.43,Bearish : -6.34,38.77,3026.47,84.096,53.56,MINDTREE LTD,Watchlist,1,,2.9,2849.95,hold,199.66,0.489,2.76,0.19465,0.33757,10.152,2.282
Basic Materials,DEEPAKNTR,STRONG_SELL,STRONG_SELL,1735.0,1722.95,3020.0,1681.15,22.246727,,,8.36701,0.12,0.15767,,SELL - 2|14|10,SELL - 4|13|9,STRONG_SELL - 0|17|9,SELL - 7|12|7,Bearish : 37.21,SELL,SELL,Bullish : 30.56,Bullish : 25.0,Weak Trend : 15.51,Bearish : -127.22,Bearish : -68.88,Bearish : -79.55,Bearish : -28.85,Bearish : -24.86,37.72,1836.09,77.989,,DEEPAK NITRITE,Portfolio,0,,,0.0,none,21.744,0.12,,,,14.478,
Utilities,JSWENERGY,NEUTRAL,STRONG_SELL,203.5,204.25,408.0,162.6,43.325527,32.61218,0.28,2.1123106,1.622,0.15851,,SELL - 2|14|10,SELL - 2|15|9,SELL - 2|15|9,SELL - 6|11|9,Bearish : 36.67,BUY,SELL,Bullish : 24.91,Bullish : 28.27,Weak Trend : 23.02,Bearish : -67.91,Bearish : -10.08,Bearish : -14.4,Bearish : -5.67,Bearish : -6.35,48.89,223.47,4.697,6.24,JSW ENERGY LTD,Watchlist,0,,3.3,0.0,hold,12.548,1.587,,,,52.67,
Utilities,GAIL,NEUTRAL,STRONG_SELL,133.45,132.35,173.5,125.2,6.3599105,7.7407193,1.68,0.9866767,1.007,0.24551001,2022-02-08 00:00:00,SELL - 2|14|10,SELL - 2|15|9,SELL - 4|14|8,SELL - 3|14|9,Bearish : 42.26,BUY,SELL,Bullish : 26.6,Bullish : 23.0,Weak Trend : 17.2,Neutral : -39.45,Bearish : -4.86,Bearish : -1.1,Bearish : -2.08,Bearish : -2.39,40.06,139.66,20.983,17.24,GAIL INDIA LTD,Watchlist,1,,1.5,133.45,strong_buy,4.589,1.036,,,,12.639,
Financial Services,KOTAKBANK,NEUTRAL,STRONG_SELL,1666.5,1667.75,2253.0,1626.0,33.23694,,,3.6874835,0.308,0.42817003,,SELL - 2|14|10,SELL - 1|15|10,STRONG_BUY - 16|1|9,SELL - 4|13|9,Bearish : 42.33,BUY,SELL,Bullish : 43.81,Bullish : 40.86,Weak Trend : 24.62,Neutral : -35.92,Bearish : -31.02,Bearish : -26.15,Bearish : -20.62,Bearish : -25.64,53.83,1700.8,50.14,,KOTAK MAHINDRA BAN,Watchlist,1,,,1666.5,none,219.883,0.305,,,,,
Basic Materials,SRF,STRONG_SELL,SELL,2181.15,2161.65,2773.35,1487.63,42.9851,20.586597,-11.1,8.584535,0.557,0.23822,,SELL - 2|14|10,SELL - 1|15|10,SELL - 2|15|9,NEUTRAL - 8|10|8,Bearish : 41.06,SELL,SELL,Bullish : 23.87,Bullish : 25.63,Weak Trend : 22.89,Bearish : -80.96,Bearish : -50.12,Bearish : -118.35,Bearish : -18.41,Bearish : -9.93,48.44,2300.96,50.742,105.95,SRF LIMITED,Watchlist,1,,2,2181.15,buy,25.209,0.548,,,,44.853,
Financial Services,BAJAJHLDNG,NEUTRAL,NEUTRAL,4578.6,4569.3,6598.0,3676.0,12.713354,,,1.2288142,0.165,0.14013,,SELL - 2|14|10,NEUTRAL - 7|9|10,STRONG_SELL - 1|16|9,NEUTRAL - 8|10|8,Bearish : 44.64,BUY,SELL,Bullish : 27.67,Bullish : 29.01,Weak Trend : 17.65,Neutral : -37.96,Bearish : -101.03,Bearish : -169.65,Bearish : -41.39,Bearish : -47.02,48.17,4931.66,360.141,,BAJAJ HLDG & INVES,Portfolio,0,,,0.0,none,2.955,0.164,3.446,0.00423,0.086219996,0.22,3.335
Industrials,FINPIPE,NEUTRAL,STRONG_SELL,136.45,136.7,244.5,125.0,9.033433,7.2502656,,2.4171405,-0.316,0.12761,2018-11-12 00:00:00,SELL - 1|15|10,SELL - 3|14|9,STRONG_SELL - 1|17|8,SELL - 4|14|8,Bearish : 41.88,BUY,BUY,Bullish : 35.15,Bullish : 32.18,Weak Trend : 14.83,Neutral : -46.91,Bearish : -3.75,Bearish : -3.35,Bearish : -1.91,Bearish : -2.32,46.36,130.2,15.105,18.82,FINOLEX INDUSTRIES,Watchlist,0,,,0.0,none,16.997,-0.316,,,,0.861,
Real Estate,GODREJPROP,NEUTRAL,NEUTRAL,1236.0,1227.8,2598.0,1129.55,,50.346233,4.62,4.118641,1.714,0.22273001,,NEUTRAL - 9|9|8,SELL - 6|10|10,STRONG_SELL - 1|16|9,SELL - 7|12|7,Neutral : 54.82,BUY,BUY,Overbrought : 85.21,Bullish : 77.83,Weak Trend : 22.43,Bullish  : 159.78,Bearish : -0.3,Bullish : 24.65,Bearish : -5.95,Bearish : -15.75,51.39,1176.42,-4.695,24.55,GODREJ PROPERTIES,Watchlist,1,,3.4,1236.0,hold,143.818,1.456,,,,57.307,
Energy,BPCL,NEUTRAL,NEUTRAL,316.15,318.35,503.0,293.35,3.6301527,6.8623834,0.25,1.3889438,0.792,0.22877,2022-02-07 00:00:00,NEUTRAL - 9|9|8,SELL - 5|11|10,SELL - 1|15|10,SELL - 3|14|9,Neutral : 53.45,BUY,BUY,Overbrought : 80.84,Bullish : 73.27,Weak Trend : 16.68,Bullish  : 74.14,Bullish : 1.37,Bullish : 1.05,Bullish : 0.39,Bearish : -0.67,54.38,305.97,87.09,46.07,BHARAT PETROL CORP,Watchlist,1,,1.6,316.15,buy,80.055,0.661,,,,120.228,
Consumer Cyclical,LUXIND,NEUTRAL,NEUTRAL,1828.6,1739.25,4644.0,1684.85,16.586542,36.82239,,4.699148,0.827,0.13901,2022-02-10 00:00:00,NEUTRAL - 9|9|8,NEUTRAL - 8|8|10,STRONG_SELL - 1|16|9,SELL - 5|14|7,Bullish  : 55.54,BUY,SELL,Bullish : 61.81,Bullish : 42.82,Weak Trend : 19.11,Bullish  : 108.77,Bearish : -4.44,Bullish : 4.9,Bearish : -7.65,Bearish : -18.44,52.52,1844.86,110.246,49.66,LUX INDUSTRIES LTD,Watchlist,0,,1.5,0.0,strong_buy,51.606,0.534,,,,15.989,
Consumer Defensive,TATACONSUM,NEUTRAL,NEUTRAL,727.45,719.55,889.0,650.2,92.38634,48.691433,3.72,4.591705,0.215,0.26737,,NEUTRAL - 9|8|9,SELL - 5|11|10,SELL - 2|16|8,SELL - 6|12|8,Neutral : 51.29,BUY,SELL,Bullish : 58.73,Bullish : 45.69,Weak Trend : 16.98,Neutral : 29.64,Bearish : -11.66,Bearish : -2.7,Bearish : -3.08,Bearish : -4.05,50.96,730.42,7.874,14.94,TATA CONSUMER PRODUCT LTD,Watchlist,1,,2.1,727.45,buy,29.725,0.215,,,,7.443,
Utilities,CESC,NEUTRAL,NEUTRAL,72.0,71.0,102.45,68.0,7.03125,7.7586207,1.66,0.91961074,0.015,0.74704003,2022-01-11 00:00:00,NEUTRAL - 9|8|9,SELL - 5|11|10,SELL - 1|15|10,SELL - 5|14|7,Neutral : 50.13,BUY,SELL,Bullish : 55.11,Bullish : 51.28,Weak Trend : 20.68,Bullish  : 85.96,Bearish : -0.98,Bullish : 1.05,Bearish : -0.55,Bearish : -0.92,55.74,73.61,10.24,9.28,CESC,Portfolio,1,,1.2,72.0,strong_buy,25.418,0.015,,,,129.687,
Industrials,ADANIPORTS,NEUTRAL,NEUTRAL,681.15,677.9,924.65,651.95,,,,,-0.057,0.20181999,,NEUTRAL - 9|8|9,SELL - 2|14|10,STRONG_SELL - 0|17|9,NEUTRAL - 9|10|7,Neutral : 48.01,BUY,SELL,Bullish : 53.59,Bullish : 44.36,Weak Trend : 20.22,Neutral : 20.2,Bearish : -11.74,Bearish : -4.05,Bearish : -5.68,Bearish : -7.63,50.35,693.21,,,ADANI PORT SPECIAL,Portfolio,1250,,,851437.5,none,63.317,-0.094,,,,148.131,
Consumer Defensive,KRBL,NEUTRAL,NEUTRAL,217.9,216.15,337.95,184.5,9.155462,9.578022,,1.3189753,-0.495,0.02329,2022-01-31 00:00:00,NEUTRAL - 9|8|9,NEUTRAL - 8|8|10,STRONG_SELL - 0|17|9,SELL - 2|14|10,Neutral : 51.8,SELL,SELL,Bullish : 39.39,Bullish : 46.36,Weak Trend : 13.66,Neutral : 10.01,Bullish : 4.3,Bearish : -6.75,Bullish : 1.33,Bullish : 1.5,41.75,224.2,23.8,22.75,KRBL LTD,Watchlist,1,,,217.9,none,39.733,-0.494,,,,4.056,
Energy,HINDPETRO,NEUTRAL,NEUTRAL,226.4,228.45,354.8,206.5,3.5325325,4.1480393,-1.63,0.84127605,-0.43,0.24966998,,NEUTRAL - 9|8|9,NEUTRAL - 8|10|8,STRONG_SELL - 0|16|10,SELL - 2|14|10,Neutral : 54.85,BUY,BUY,Bullish : 76.14,Bullish : 65.74,Weak Trend : 16.4,Bullish  : 107.81,Bullish : 2.48,Bullish : 0.5,Bullish : 0.4,Bearish : -0.54,49.3,216.46,64.09,54.58,HINDUSTAN PETROL,Watchlist,1,,1.7,226.4,buy,40.354,-0.39,,,,110.226,
Financial Services,BAJFINANCE,NEUTRAL,NEUTRAL,5625.05,5614.4,8050.0,5220.0,68.594826,,,8.690329,0.797,0.20906,,NEUTRAL - 9|8|9,NEUTRAL - 7|9|10,SELL - 4|12|10,SELL - 5|12|9,Neutral : 54.58,BUY,SELL,Bullish : 72.21,Bullish : 62.01,Weak Trend : 15.57,Bullish  : 87.61,Bullish : 38.8,Bullish : 9.75,Bearish : -4.85,Bearish : -26.55,59.32,5648.95,82.004,,BAJAJ FINANCE LTD,Watchlist,125,,,703131.25,none,63.032,0.793,6.047,0.0366,0.17433001,307.857,6.042
Communication Services,ZEEL,NEUTRAL,NEUTRAL,218.9,215.3,378.7,166.8,18.159946,13.298907,1.01,2.0315356,-0.253,0.73829,2022-02-02 00:00:00,NEUTRAL - 9|7|10,SELL - 5|11|10,STRONG_SELL - 1|16|9,SELL - 6|14|6,Neutral : 49.94,BUY,SELL,Bullish : 41.85,Bullish : 32.57,Weak Trend : 19.88,Neutral : 20.79,Bearish : -3.93,Bearish : -2.95,Bearish : -2.44,Bearish : -3.27,59.87,223.39,12.054,16.46,ZEE ENTERTAIN ENT,Watchlist,1,,1.9,218.9,buy,16.683,-0.252,,,,4.438,
Healthcare,GLENMARK,NEUTRAL,NEUTRAL,386.75,394.1,690.95,348.5,10.430432,9.104284,0.57,1.260162,-0.106,0.22954,,NEUTRAL - 9|7|10,NEUTRAL - 8|9|9,STRONG_SELL - 1|16|9,SELL - 1|15|10,Neutral : 53.29,BUY,SELL,Bullish : 71.16,Overbrought : 80.77,Weak Trend : 9.33,Neutral : 40.73,Bullish : 10.58,Bullish : 2.25,Bullish : 2.93,Bullish : 1.81,51.2,397.4,37.079,42.48,GLENMARK PHARM,Portfolio,1150,,2.5,444762.5,buy,50.639,-0.107,,,,43.299,
Industrials,PPL,NEUTRAL,NEUTRAL,165.05,164.4,210.0,125.0,9.158252,,,1.8676307,0.15,0,2021-05-17 00:00:00,NEUTRAL - 8|9|9,SELL - 6|11|9,SELL - 3|14|9,NEUTRAL - 8|7|9,Neutral : 50.96,BUY,BUY,Bullish : 59.46,Bullish : 60.24,Weak Trend : 13.38,Neutral : 37.65,Bullish : 0.96,Bearish : -1.45,Bearish : -0.17,Bearish : -0.66,31.89,159.67,18.022,,PRAKASH PIPES LTD,Watchlist,0,,,0.0,none,20.755,-0.018,,,,2.728,
Communication Services,SUNTV,NEUTRAL,NEUTRAL,421.35,422.75,612.0,402.55,9.805678,10.602667,1.2,2.1648548,0.057,0.07017,,NEUTRAL - 8|9|9,SELL - 5|11|10,SELL - 1|15|10,SELL - 2|14|10,Neutral : 50.16,BUY,SELL,Bullish : 73.32,Bullish : 70.71,Weak Trend : 10.17,Neutral : 2.67,Bearish : -1.61,Bullish : 4.9,Bearish : -0.96,Bearish : -1.68,52.14,429.39,42.97,39.74,SUN TV NETWORK LTD,Portfolio,1500,,2,632025.0,buy,87.553,0.058,,,,0.859,
Financial Services,MOTILALOFS,NEUTRAL,NEUTRAL,759.5,757.0,1188.0,714.0,7.3740726,15.099403,,2.1567268,-0.332,0.97867996,,NEUTRAL - 8|9|9,SELL - 4|13|9,SELL - 1|15|10,SELL - 6|12|8,Neutral : 52.65,BUY,BUY,Bullish : 62.67,Bullish : 65.15,Weak Trend : 12.5,Bullish  : 93.5,Bullish : 5.99,Bullish : 22.5,Bearish : -1.78,Bearish : -6.82,55.92,730.32,102.996,50.3,MOTILAL OSWAL FINA,Watchlist,0,,2,0.0,buy,361.081,-0.319,2.953,0.08456001,0.25763,107.909,2.953
Consumer Defensive,DMART,NEUTRAL,NEUTRAL,3485.1,3388.75,5900.0,3186.0,165.39009,87.52135,30.74,17.779127,0.236,0.117419995,2022-01-08 00:00:00,NEUTRAL - 8|9|9,SELL - 4|12|10,SELL - 3|14|9,SELL - 6|11|9,Neutral : 49.25,BUY,BUY,Bullish : 57.55,Bullish : 40.66,Weak Trend : 19.19,Bullish  : 62.97,Bearish : -98.87,Bullish : 70.9,Bearish : -40.0,Bearish : -52.88,47.63,3335.58,21.072,39.82,AVENUE SUPERMARTS,Watchlist,0,,3.5,0.0,hold,9.476,0.235,,,,4.018,
Healthcare,SEQUENT,NEUTRAL,NEUTRAL,96.7,92.55,319.15,82.0,33.611397,31.193548,,3.1336076,-0.54,0.07671,2018-02-08 00:00:00,NEUTRAL - 8|9|9,NEUTRAL - 9|7|10,SELL - 4|12|10,SELL - 5|14|7,Neutral : 50.04,BUY,BUY,Bullish : 43.63,Bullish : 30.09,Weak Trend : 10.77,Bullish  : 62.1,Bearish : -2.16,Bullish : 0.2,Bearish : -1.22,Bearish : -1.74,40.09,91.6,2.877,3.1,SEQUENT SCIENTIFIC,Watchlist,0,,4,0.0,underperform,2.678,-0.553,,,,38.155,
Utilities,ADANIPOWER,NEUTRAL,NEUTRAL,262.65,263.25,344.5,70.35,,-117.780266,,3.0154994,,0.078660004,,NEUTRAL - 8|8|10,NEUTRAL - 7|9|10,BUY - 15|1|10,BUY - 12|4|10,Neutral : 46.04,BUY,SELL,Bullish : 42.95,Bullish : 47.42,Weak Trend : 18.18,Neutral : 3.71,Bearish : -1.58,Bearish : -9.9,Bearish : -1.77,Bearish : -2.44,43.6,276.32,-9.582,-2.23,ADANI POWER LTD,Watchlist,0,,,0.0,none,4.312,,,,,393.932,
Consumer Cyclical,EPL,NEUTRAL,NEUTRAL,155.2,157.55,291.0,147.15,20.77922,,,2.7632375,-0.195,0.21885,,NEUTRAL - 8|10|8,SELL - 4|13|9,SELL - 5|12|9,SELL - 3|15|8,Neutral : 51.92,BUY,BUY,Bullish : 66.01,Bullish : 53.62,Weak Trend : 19.6,Bullish  : 126.89,Bearish : -0.5,Bullish : 2.2,Bearish : -0.54,Bearish : -1.33,52.13,147.9,7.469,,EPL LIMITED,Watchlist,0,,,0.0,none,8.253,-0.196,,,,39.822,
Industrials,KEC,NEUTRAL,NEUTRAL,389.7,387.95,550.0,345.5,21.505436,15.270376,0.63,2.9516468,-0.355,0.82477,,NEUTRAL - 8|10|8,NEUTRAL - 7|10|9,SELL - 3|15|8,SELL - 6|11|9,Neutral : 49.51,SELL,SELL,Oversold : 17.56,Bullish : 26.84,Weak Trend : 19.67,Neutral : -32.58,Bullish : 3.33,Bearish : -31.15,Bullish : 1.97,Bullish : 4.41,35.72,415.42,18.121,25.52,KEC INTERNATIONAL,Watchlist,0,,1.8,0.0,buy,12.022,-0.355,,,,95.084,
Basic Materials,UPL,NEUTRAL,NEUTRAL,649.95,643.5,852.4,607.5,16.521353,13.746828,0.92,2.2963798,0.179,0.45062,2019-10-24 00:00:00,NEUTRAL - 7|9|10,SELL - 4|12|10,SELL - 2|15|9,NEUTRAL - 8|12|6,Bearish : 44.44,BUY,SELL,Bullish : 58.92,Bullish : 55.98,Strong Trend : 37.23,Neutral : 42.16,Bearish : -26.81,Bearish : -8.3,Bearish : -13.04,Bearish : -17.43,56.59,663.88,39.34,47.28,UPL LIMITED,Watchlist,1,,1.8,649.95,buy,35.102,0.104,,,0.20311001,108.779,
Utilities,POWERGRID,NEUTRAL,NEUTRAL,210.9,206.5,248.35,167.15,9.041025,9.915373,0.65,1.8965315,-0.022,0.35737,,NEUTRAL - 7|10|9,SELL - 5|11|10,SELL - 6|10|10,NEUTRAL - 10|9|7,Neutral : 47.04,BUY,SELL,Bullish : 38.44,Bullish : 29.76,Weak Trend : 16.77,Neutral : 19.68,Bearish : -4.52,Bearish : -0.55,Bearish : -2.14,Bearish : -2.69,35.51,214.09,23.327,21.27,POWER GRID CORP,Watchlist,1,,1.9,210.9,buy,13.122,-0.023,,,,178.861,
Technology,HCLTECH,NEUTRAL,NEUTRAL,981.6,975.35,1377.75,944.05,20.61362,17.428976,1.76,317.97864,2.009,0.25145,2022-04-21 00:00:00,NEUTRAL - 7|10|9,SELL - 4|13|9,STRONG_SELL - 1|16|9,SELL - 7|13|6,Neutral : 48.53,BUY,SELL,Bullish : 43.98,Bullish : 38.02,Weak Trend : 14.02,Neutral : 8.42,Bearish : -5.6,Bearish : -11.4,Bearish : -3.36,Bearish : -4.46,42.78,1004.48,47.619,56.32,HCL TECHNOLOGIES,Portfolio,700,,2,687120.0,buy,0.92,2.015,2.559,0.11524,0.22073,10.23,2.206
Industrials,BHEL,NEUTRAL,NEUTRAL,45.45,45.65,80.35,41.4,,10.520833,0.73,0.6299289,,0.14718,,NEUTRAL - 7|10|9,SELL - 4|13|9,SELL - 2|15|9,SELL - 3|14|9,Neutral : 47.28,BUY,SELL,Bullish : 57.57,Bullish : 58.21,Weak Trend : 16.11,Neutral : 24.42,Bearish : -0.55,Bearish : -0.5,Bearish : -0.37,Bearish : -0.55,46.16,46.52,-5.022,4.32,BHARAT HEAVY ELECT,Portfolio,10500,,3.5,477225.00000000006,hold,18.756,,,,,19.562,
Healthcare,LAURUSLABS,NEUTRAL,NEUTRAL,469.7,465.1,723.75,436.8,25.005323,20.098417,,8.408371,-0.223,0.19356,,NEUTRAL - 7|10|9,SELL - 4|12|10,SELL - 3|14|9,NEUTRAL - 8|11|7,Bearish : 42.13,BUY,BUY,Bullish : 65.78,Bullish : 63.7,Strong Trend : 43.63,Bullish  : 84.6,Bearish : -15.75,Bullish : 3.7,Bearish : -8.77,Bearish : -12.31,59.44,457.39,18.784,23.37,LAURUS LABS LTD,Watchlist,0,,1.7,0.0,buy,1.413,-0.222,1.248,0.11508001,0.27928,52.892,0.533
Basic Materials,JINDALSTEL,NEUTRAL,NEUTRAL,329.75,332.95,577.8,304.2,4.913282,16.219872,,1.0204777,-0.283,0.21786,,NEUTRAL - 7|10|9,SELL - 3|13|10,STRONG_SELL - 1|16|9,SELL - 4|13|9,Neutral : 47.38,BUY,SELL,Bullish : 61.96,Bullish : 63.96,Strong Trend : 26.85,Neutral : 39.02,Bearish : -3.15,Bullish : 7.65,Bearish : -3.41,Bearish : -6.06,54.65,343.12,67.114,20.33,JINDAL STEEL & PWR,Watchlist,2500,,1.5,824375.0,strong_buy,47.487,-0.283,,,,49.667,
Basic Materials,MOIL,NEUTRAL,NEUTRAL,143.15,141.85,201.9,137.3,11.7702675,6.6150646,2.48,1.2047533,1.411,0.14439,,NEUTRAL - 7|10|9,BUY - 15|2|9,STRONG_SELL - 0|17|9,SELL - 5|15|6,Neutral : 45.55,BUY,BUY,Bullish : 45.48,Bullish : 35.6,Weak Trend : 17.53,Neutral : 30.22,Bearish : -2.93,Bearish : -0.5,Bearish : -1.78,Bearish : -2.34,39.73,139.9,12.162,21.64,MOIL LTD,Portfolio,0,,1.6,0.0,buy,82.91,1.406,,,,,
Financial Services,ICICIGI,NEUTRAL,NEUTRAL,1158.4,1145.75,1675.0,1071.0,42.30671,27.752754,1.1,5.943104,-0.096,0.29933,2021-10-21 00:00:00,NEUTRAL - 10|8|8,NEUTRAL - 8|10|8,SELL - 5|14|7,SELL - 3|14|9,Bullish  : 57.47,BUY,BUY,Overbrought : 84.33,Bullish : 69.14,Weak Trend : 23.41,Bullish  : 196.73,Bullish : 11.56,Bullish : 22.85,Bearish : -0.46,Bearish : -7.33,57.78,1107.09,27.381,41.74,ICICI LOMBARD GEN,Watchlist,1,,2.3,1158.4,buy,5.965,-0.161,0.271,0.02332,0.14456001,2.693,0.007
Consumer Defensive,BRITANNIA,OVERBROUGHT,STRONG_BUY,3681.05,3584.35,4153.0,3050.0,55.64281,45.238415,4.45,49.17837,-0.186,0.23261,,BUY - 16|2|8,STRONG_BUY - 16|1|9,BUY - 14|2|10,STRONG_BUY - 17|0|9,Overbought : 75.84,BUY,BUY,Overbrought : 93.0,Overbrought : 89.5,Weak Trend : 22.65,Overbought : 267.2,Bullish : 129.82,Bullish : 218.0,Bullish : 46.85,Bullish : 21.54,65.24,3438.22,66.155,81.37,BRITANNIA INDS,Watchlist,200,,2.1,736210.0,buy,31.175,-0.186,,,,154.403,
Consumer Cyclical,EICHERMOT,NEUTRAL,STRONG_BUY,2803.65,2782.8,2994.0,2159.55,46.015785,,,6.6445546,-0.144,0.24697,,BUY - 15|2|9,STRONG_BUY - 16|1|9,BUY - 14|4|8,BUY - 15|2|9,Neutral : 54.29,SELL,SELL,Bullish : 33.9,Bullish : 39.62,Strong Trend : 27.32,Neutral : 0.65,Bullish : 35.22,Bearish : -32.15,Bullish : 24.11,Bullish : 31.79,40.68,2897.2,60.928,,EICHER MOTORS,Portfolio,350,,,981277.5,none,151.014,-0.144,,,,1.061,
